 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4,aureme5
MNXR146087,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR146101,1,0,1,1,1,1,1,0,0,1,1,1,1
MNXR146109,1,0,0,1,0,0,0,0,1,0,1,1,1
MNXR146118,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146120,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146138,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146139,1,1,0,1,0,0,0,1,0,0,1,1,1
MNXR146171,1,0,1,1,0,1,1,1,1,1,1,1,1
MNXR146175,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR146176,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR146182,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR146198,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146202,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146238,1,0,1,1,1,1,0,0,0,1,1,1,1
MNXR146241,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146314,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146320,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146326,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146332,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146338,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146342,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146346,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146350,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146410,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR146443,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146462,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146501,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146526,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146538,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146555,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146568,1,0,1,1,0,0,0,0,0,1,1,1,1
MNXR146573,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR146605,1,1,0,1,1,1,0,1,0,0,1,1,1
MNXR146607,1,0,0,0,0,0,0,0,1,0,0,0,0
MNXR146642,1,0,0,1,1,1,0,1,0,0,1,1,1
MNXR146667,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146678,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146695,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146728,1,1,0,1,1,1,0,1,0,0,1,1,1
MNXR146729,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146739,1,0,1,1,0,1,1,0,1,1,1,1,1
MNXR146751,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR146759,1,0,1,1,1,1,0,0,1,1,1,1,1
MNXR146809,1,0,0,1,0,0,0,1,0,0,1,1,1
MNXR146810,1,0,1,0,0,1,1,1,0,0,0,0,0
MNXR146812,1,0,1,1,0,1,1,1,1,0,1,1,1
MNXR146819,1,1,0,0,0,1,1,1,1,0,0,0,0
MNXR146938,1,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147040,1,0,0,0,0,0,0,0,0,0,0,1,1
MNXR147046,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR147175,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR147724,1,0,0,1,1,1,1,1,1,0,1,1,1
MNXR147976,1,0,1,1,0,0,0,0,1,0,1,1,1
MNXR148082,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR150328,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR151192,1,0,1,1,0,0,0,0,0,1,1,1,1
MNXR151211,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR151238,1,0,0,1,0,0,1,1,0,0,1,1,1
MNXR151244,1,0,0,1,0,0,0,0,1,0,1,1,1
MNXR151340,1,1,0,1,0,0,0,0,0,0,1,1,1
MNXR151353,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR151386,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR151400,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR151449,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR151498,1,1,0,0,0,0,0,1,0,0,0,0,0
MNXR151528,1,0,1,1,0,1,1,1,0,1,1,1,1
MNXR151629,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR151671,1,0,0,1,0,0,0,0,0,0,0,1,0
MNXR151714,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR151715,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR151858,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR152012,1,0,0,1,1,1,1,1,1,0,1,1,1
MNXR152165,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR152170,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR152254,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR152268,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR152340,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR152735,1,0,0,0,0,0,0,1,0,0,0,0,0
MNXR152777,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR152779,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR152820,1,0,0,0,0,0,0,0,0,0,0,0,0
